path,scenario,scenario_sign,metric,draws,mean,sd,p025,p05,p50,p95,p975,positive_share
trade,three_1pp_cut_2028_2030,cut,K_Y_h8,199,1.802176136021504,0.47814392532457,0.7914125181151158,0.8891252546198098,1.8703901401534408,2.518036645403051,2.647313404305495,1.0
trade,three_1pp_cut_2028_2030,cut,K_G_h8,199,0.7236902475021362,0.0725049374426385,0.590735232271016,0.6203602856126784,0.7227679636655395,0.8286999159941204,0.8789028986090849,1.0
trade,three_1pp_cut_2028_2030,cut,dsa_margin_2036,199,3.9167942018425608,4.957700497149618,-5.6402245342723685,-4.839680956539418,4.049729455345059,11.20915902555891,12.644146359203722,0.7989949748743719
trade,three_1pp_cut_2028_2030,cut,direct_dy_margin_2036,199,2.0335169693562114,2.7768696698514432,-3.605499221525776,-2.7286446018171504,2.1691926608990073,6.657400188180624,7.118001541513613,0.7989949748743719
trade,three_1pp_cut_2028_2030,cut,Y_shortfall_2036,199,4.394179099781551,1.38133760708528,1.460694051969247,1.9779370036383008,4.582579092594896,6.395023695123971,6.709398380437382,0.9949748743718592
trade,three_1pp_cut_2028_2030,cut,direct_pb_2036,199,1.9740670897825656,0.1785938886807976,1.6741091949361293,1.7067534578106192,1.962939408648303,2.267493804762009,2.341234558817664,1.0
trade,three_1pp_expansion_2028_2030,expansion,K_Y_h8,199,1.802176136021504,0.47814392532457,0.7914125181151158,0.8891252546198098,1.8703901401534408,2.518036645403051,2.647313404305495,1.0
trade,three_1pp_expansion_2028_2030,expansion,K_G_h8,199,0.7236902475021362,0.0725049374426385,0.590735232271016,0.6203602856126784,0.7227679636655395,0.8286999159941204,0.8789028986090849,1.0
trade,three_1pp_expansion_2028_2030,expansion,dsa_margin_2036,199,-3.669511024140576,4.838924337916748,-12.156524011843125,-10.599840375072128,-3.918015941949463,4.895773056885197,5.7663676385498706,0.2060301507537688
trade,three_1pp_expansion_2028_2030,expansion,direct_dy_margin_2036,199,-2.0335169693562114,2.7768696698514432,-7.118001541513615,-6.657400188180625,-2.1691926608990073,2.728644601817149,3.605499221525774,0.2010050251256281
trade,three_1pp_expansion_2028_2030,expansion,Y_shortfall_2036,199,-4.394179099781551,1.38133760708528,-6.709398380437382,-6.395023695123971,-4.582579092594896,-1.9779370036383008,-1.4606940519692488,0.0050251256281407
trade,three_1pp_expansion_2028_2030,expansion,direct_pb_2036,199,-1.9740670897825656,0.1785938886807976,-2.341234558817665,-2.267493804762009,-1.962939408648303,-1.7067534578106192,-1.6741091949361298,0.0
liq,three_1pp_cut_2028_2030,cut,K_Y_h8,199,2.24683617617759,0.5837836004076579,1.180344979690518,1.2797586653100903,2.2980436037580274,3.2111278403543486,3.379023874170519,1.0
liq,three_1pp_cut_2028_2030,cut,K_G_h8,199,0.7646861679346931,0.0763684195186184,0.6263438092075249,0.6421214004316174,0.7607886356123816,0.880300214173295,0.9085759190466448,1.0
liq,three_1pp_cut_2028_2030,cut,dsa_margin_2036,199,7.042941442251297,5.806736952939098,-3.988559233045101,-2.397424154923017,6.783462602023462,16.573942872192273,18.85732067873206,0.8844221105527639
liq,three_1pp_cut_2028_2030,cut,direct_dy_margin_2036,199,3.33851909547691,2.9234522654712074,-2.3615907766628963,-1.3055947842555895,3.402700553365993,8.040567562019103,8.992869784229462,0.8844221105527639
liq,three_1pp_cut_2028_2030,cut,Y_shortfall_2036,199,5.827216232628874,1.5848085318489449,2.855904641033391,3.2725237354285137,5.870115852444538,8.39503304697965,8.786454274205242,1.0
liq,three_1pp_cut_2028_2030,cut,direct_pb_2036,199,2.149207173184887,0.1806543359438585,1.8201747252164584,1.8676730167539008,2.1346205808449588,2.446123870222679,2.519643486744046,1.0
liq,three_1pp_expansion_2028_2030,expansion,K_Y_h8,199,2.24683617617759,0.5837836004076579,1.180344979690518,1.2797586653100903,2.2980436037580274,3.2111278403543486,3.379023874170519,1.0
liq,three_1pp_expansion_2028_2030,expansion,K_G_h8,199,0.7646861679346931,0.0763684195186184,0.6263438092075249,0.6421214004316174,0.7607886356123816,0.880300214173295,0.9085759190466448,1.0
liq,three_1pp_expansion_2028_2030,expansion,dsa_margin_2036,199,-6.531534759895233,5.506023221365815,-17.47958947112158,-15.402998344218291,-6.505461386928943,2.503328613995386,4.063362410746475,0.1206030150753768
liq,three_1pp_expansion_2028_2030,expansion,direct_dy_margin_2036,199,-3.33851909547691,2.9234522654712074,-8.992869784229462,-8.040567562019104,-3.402700553365993,1.305594784255588,2.3615907766628954,0.1155778894472361
liq,three_1pp_expansion_2028_2030,expansion,Y_shortfall_2036,199,-5.827216232628874,1.5848085318489449,-8.786454274205242,-8.39503304697965,-5.870115852444538,-3.2725237354285137,-2.8559046410333933,0.0
liq,three_1pp_expansion_2028_2030,expansion,direct_pb_2036,199,-2.149207173184887,0.1806543359438585,-2.519643486744046,-2.446123870222679,-2.1346205808449588,-1.8676730167539008,-1.8201747252164588,0.0
debt,three_1pp_cut_2028_2030,cut,K_Y_h8,199,1.9685540098391705,0.4488688702250052,1.1310542532974823,1.2347079209200436,1.9611435175097272,2.7166534446148556,2.8007924578488095,1.0
debt,three_1pp_cut_2028_2030,cut,K_G_h8,199,0.7618895050017205,0.0679266264542813,0.6440202421902612,0.6567557208810476,0.7586556601661163,0.8693006323613582,0.89945214297809,1.0
debt,three_1pp_cut_2028_2030,cut,dsa_margin_2036,199,4.806071985000244,4.723198457627873,-4.48939707033072,-2.897200306312753,4.8684376745241025,12.691480021673415,13.330069612518413,0.8442211055276382
debt,three_1pp_cut_2028_2030,cut,direct_dy_margin_2036,199,3.5081136698981217,2.103890986845738,-0.0881579100615102,0.2943506182953141,3.358243190726582,7.059067718618419,7.932707590158918,0.9698492462311558
debt,three_1pp_cut_2028_2030,cut,Y_shortfall_2036,199,5.216283458248754,1.3387306944123267,2.4205652001527347,3.0265703957039687,5.262445818630158,7.354373380793,7.6399321516864545,1.0
debt,three_1pp_cut_2028_2030,cut,direct_pb_2036,199,2.107924563392045,0.1622979628550071,1.8243279093623783,1.8474201584689107,2.104335678801283,2.3861502287309957,2.452175014956323,1.0
debt,three_1pp_expansion_2028_2030,expansion,K_Y_h8,199,1.9685540098391705,0.4488688702250052,1.1310542532974823,1.2347079209200436,1.9611435175097272,2.7166534446148556,2.8007924578488095,1.0
debt,three_1pp_expansion_2028_2030,expansion,K_G_h8,199,0.7618895050017205,0.0679266264542813,0.6440202421902612,0.6567557208810476,0.7586556601661163,0.8693006323613582,0.89945214297809,1.0
debt,three_1pp_expansion_2028_2030,expansion,dsa_margin_2036,199,-4.424990951011119,4.5277480991150165,-12.501792159910543,-11.93603749965988,-4.568096109472208,3.0256842863062583,4.601105981918144,0.1658291457286432
debt,three_1pp_expansion_2028_2030,expansion,direct_dy_margin_2036,199,-3.5081136698981217,2.103890986845738,-7.9327075901589215,-7.05906771861842,-3.358243190726582,-0.2943506182953143,0.0881579100615074,0.0301507537688442
debt,three_1pp_expansion_2028_2030,expansion,Y_shortfall_2036,199,-5.216283458248754,1.3387306944123267,-7.639932151686455,-7.354373380793,-5.262445818630158,-3.0265703957039687,-2.4205652001527347,0.0
debt,three_1pp_expansion_2028_2030,expansion,direct_pb_2036,199,-2.107924563392045,0.1622979628550071,-2.4521750149563233,-2.3861502287309957,-2.104335678801283,-1.8474201584689107,-1.8243279093623783,0.0
equal_weight_scenario_channels,three_1pp_cut_2028_2030,cut,K_Y_h8,199,2.0058554406794213,0.4164091392666296,1.2523217767309571,1.3388834093295376,2.004250586976084,2.708915677545197,2.915580197543074,1.0
equal_weight_scenario_channels,three_1pp_cut_2028_2030,cut,K_G_h8,199,0.7500886401461835,0.0642732531925408,0.6353991046850656,0.649495688595093,0.7477792699344912,0.8466121617013294,0.8831670491597813,1.0
equal_weight_scenario_channels,three_1pp_cut_2028_2030,cut,dsa_margin_2036,199,5.255269209698034,4.463416907150762,-3.080147475533495,-1.6415775743014418,5.132010983663567,12.732450082419204,15.063258544406414,0.8743718592964824
equal_weight_scenario_channels,three_1pp_cut_2028_2030,cut,direct_dy_margin_2036,199,2.9600499115770815,2.24208873138293,-1.1845383341066111,-0.5816749535699394,2.962102574208853,7.079034191065971,7.659034000450728,0.9095477386934674
equal_weight_scenario_channels,three_1pp_cut_2028_2030,cut,Y_shortfall_2036,199,5.145892930219727,1.140761837597452,3.0646619775024133,3.4418927330466538,5.1067694159964985,6.944379184584047,7.364970450059945,1.0
equal_weight_scenario_channels,three_1pp_cut_2028_2030,cut,direct_pb_2036,199,2.077066275453166,0.1581379878069628,1.7992074496497688,1.8373314359835935,2.0705336848924323,2.347434955535342,2.3967182767610984,1.0
equal_weight_scenario_channels,three_1pp_expansion_2028_2030,expansion,K_Y_h8,199,2.0058554406794213,0.4164091392666296,1.2523217767309571,1.3388834093295376,2.004250586976084,2.708915677545197,2.915580197543074,1.0
equal_weight_scenario_channels,three_1pp_expansion_2028_2030,expansion,K_G_h8,199,0.7500886401461835,0.0642732531925408,0.6353991046850656,0.649495688595093,0.7477792699344912,0.8466121617013294,0.8831670491597813,1.0
equal_weight_scenario_channels,three_1pp_expansion_2028_2030,expansion,dsa_margin_2036,199,-4.875345578348975,4.296603846394146,-14.081256403705456,-12.1809607862056,-4.850456468862774,1.7907354723678757,3.2174164908211864,0.1306532663316583
equal_weight_scenario_channels,three_1pp_expansion_2028_2030,expansion,direct_dy_margin_2036,199,-2.9600499115770815,2.24208873138293,-7.659034000450728,-7.079034191065972,-2.962102574208853,0.5816749535699389,1.1845383341066105,0.0904522613065326
equal_weight_scenario_channels,three_1pp_expansion_2028_2030,expansion,Y_shortfall_2036,199,-5.145892930219727,1.140761837597452,-7.364970450059949,-6.944379184584048,-5.1067694159964985,-3.4418927330466538,-3.064661977502417,0.0
equal_weight_scenario_channels,three_1pp_expansion_2028_2030,expansion,direct_pb_2036,199,-2.077066275453166,0.1581379878069628,-2.396718276761099,-2.347434955535342,-2.0705336848924323,-1.8373314359835935,-1.7992074496497692,0.0
